Client_ID,Industry,Loan_Amount_EUR,Self_Reported_Emissions_Tons,Audited_Emissions_Tons,Azure_Security_Flag,ESG_Risk_Rating,Emissions_Discrepancy_%,Predicted_Fraud_Probability_%
CLI-0323,Energy,19608002.34,13170.44,12565.04,0,12.9,-4.6,0.0
CLI-0324,Logistics,12123320.67,11505.92,16058.84,1,34.0,39.57,99.0
CLI-0325,Logistics,53881144.39,14269.51,13767.16,0,15.9,-3.52,0.0
CLI-0326,Logistics,57560832.4,13130.43,13766.8,0,20.5,4.85,0.0
CLI-0327,Retail,52417018.95,4063.79,5386.38,1,30.3,32.55,87.0
CLI-0328,Agriculture,49523384.11,23488.09,22791.75,0,28.0,-2.96,8.0
CLI-0329,Energy,41038308.94,36903.94,61313.56,1,35.1,66.14,100.0
CLI-0330,Energy,35297155.38,30729.85,30930.87,0,23.5,0.65,0.0
CLI-0331,Retail,9784271.8,33970.71,32343.54,0,23.6,-4.79,3.0
CLI-0332,Energy,27464926.72,4976.31,4744.63,0,28.9,-4.66,10.0
CLI-0333,Logistics,25497868.44,47623.04,69886.59,1,29.1,46.75,68.0
CLI-0334,Agriculture,19286458.11,42086.1,43707.42,0,10.0,3.85,1.0
CLI-0335,Manufacturing,44788106.25,40449.43,38777.68,0,15.4,-4.13,0.0
CLI-0336,Energy,32273165.43,41326.21,41484.75,0,14.4,0.38,0.0
CLI-0337,Logistics,9457541.87,46702.81,48632.71,0,23.2,4.13,0.0
CLI-0338,Manufacturing,17110076.11,27668.44,27358.48,0,22.7,-1.12,0.0
CLI-0339,Agriculture,42579232.0,10813.82,11170.21,0,21.9,3.3,2.0
CLI-0340,Manufacturing,9187197.27,31222.4,39971.46,1,24.7,28.02,62.0
CLI-0341,Logistics,51816380.27,37401.19,38341.54,0,24.6,2.51,6.0
CLI-0342,Manufacturing,32233058.99,37157.95,38797.86,0,16.5,4.41,1.0
CLI-0343,Retail,31432261.75,26551.0,27019.94,0,23.3,1.77,1.0
CLI-0344,Manufacturing,37582428.16,4354.48,6174.84,1,35.5,41.8,100.0
CLI-0345,Energy,50357453.13,19184.53,18753.97,0,16.9,-2.24,0.0
CLI-0346,Energy,24129506.43,46117.56,45343.58,0,12.7,-1.68,4.0
CLI-0347,Retail,42290888.39,29638.0,30233.16,0,11.9,2.01,0.0
CLI-0348,Logistics,36115258.02,27378.27,28104.66,0,26.6,2.65,5.0
CLI-0349,Energy,19686554.86,14173.82,14782.45,0,28.4,4.29,2.0
CLI-0350,Agriculture,53324649.25,19054.0,18491.53,0,23.0,-2.95,1.0
CLI-0351,Energy,48858431.19,44871.96,46209.14,0,12.1,2.98,0.0
CLI-0352,Energy,41214850.91,33656.69,34459.56,0,18.0,2.39,2.0
CLI-0353,Logistics,51781995.1,39581.96,37855.37,0,24.6,-4.36,6.0
CLI-0354,Manufacturing,52701181.05,23262.93,23000.58,0,25.6,-1.13,1.0
CLI-0355,Energy,43959963.72,31882.11,31189.52,0,12.4,-2.17,0.0
CLI-0356,Retail,51035733.06,13170.8,12913.3,0,10.0,-1.96,0.0
CLI-0357,Manufacturing,43360930.39,35567.58,37285.31,0,24.2,4.83,8.0
CLI-0358,Agriculture,42407742.45,21952.47,22265.9,0,17.1,1.43,0.0
CLI-0359,Logistics,39023625.8,22684.73,23178.52,0,15.1,2.18,0.0
CLI-0360,Agriculture,46399415.18,32816.79,34380.9,0,10.3,4.77,1.0
CLI-0361,Manufacturing,13723280.79,46877.75,46302.1,0,20.8,-1.23,0.0
CLI-0362,Manufacturing,53447891.76,4136.31,4261.16,0,27.0,3.02,6.0
CLI-0363,Manufacturing,52951394.03,41412.42,41141.3,0,29.2,-0.65,3.0
CLI-0364,Agriculture,6608600.57,15326.77,15893.15,0,21.3,3.7,0.0
CLI-0365,Manufacturing,50419921.28,22752.05,22025.48,0,20.3,-3.19,2.0
CLI-0366,Agriculture,12087842.71,2073.75,2166.59,0,11.7,4.48,2.0
CLI-0367,Manufacturing,23431536.98,15751.26,15308.29,0,21.0,-2.81,1.0
CLI-0368,Retail,45892954.1,25628.93,25183.55,0,17.6,-1.74,2.0
CLI-0369,Manufacturing,13841794.28,3752.63,3848.77,0,22.1,2.56,0.0
CLI-0370,Agriculture,49988186.33,25063.69,35997.8,1,28.9,43.63,75.0
CLI-0371,Energy,50767379.79,46428.42,46171.08,0,14.8,-0.55,1.0
CLI-0372,Manufacturing,32910725.36,6164.27,6313.67,0,11.9,2.42,1.0
CLI-0373,Energy,5351222.94,38457.6,37412.83,0,16.3,-2.72,2.0
CLI-0374,Retail,20787097.32,21073.88,20143.38,0,11.9,-4.42,0.0
CLI-0375,Logistics,38930980.51,33103.51,32441.21,0,13.5,-2.0,0.0
CLI-0376,Retail,58965239.79,13751.59,13716.26,0,29.7,-0.26,5.0
CLI-0377,Manufacturing,39749743.99,8815.12,8522.48,0,18.9,-3.32,5.0
CLI-0378,Energy,19289196.96,8862.67,12521.87,1,29.6,41.29,69.0
CLI-0379,Energy,39870313.67,4454.11,4256.97,0,27.5,-4.43,1.0
CLI-0380,Agriculture,34699195.88,10096.69,10180.8,0,29.9,0.83,21.0
CLI-0381,Energy,47891496.73,33546.75,34836.1,0,21.7,3.84,6.0
CLI-0382,Agriculture,10883935.14,44202.84,42663.44,0,26.2,-3.48,0.0
CLI-0383,Logistics,46856534.64,40892.16,41292.12,0,16.5,0.98,0.0
CLI-0384,Manufacturing,34769661.83,34571.58,35141.11,0,16.1,1.65,3.0
CLI-0385,Agriculture,57964560.21,6411.16,6359.44,0,18.1,-0.81,2.0
CLI-0386,Logistics,23802969.13,15170.18,15475.25,0,23.5,2.01,1.0
CLI-0387,Energy,39794204.12,16180.54,16036.1,0,23.6,-0.89,0.0
CLI-0388,Energy,56261545.8,13247.89,13254.03,0,16.3,0.05,0.0
CLI-0389,Logistics,10638035.04,26235.28,24942.81,0,12.7,-4.93,0.0
CLI-0390,Energy,56547566.8,27242.14,43996.93,1,34.3,61.5,97.0
CLI-0391,Logistics,42833714.73,18487.41,22610.85,1,21.2,22.3,62.0
CLI-0392,Agriculture,8731038.25,18335.67,19214.01,0,21.6,4.79,1.0
CLI-0393,Agriculture,21552996.18,41599.22,41269.49,0,23.9,-0.79,7.0
CLI-0394,Logistics,43949464.88,39675.35,39683.07,0,24.0,0.02,11.0
CLI-0395,Agriculture,8704283.08,16082.0,16741.25,0,25.1,4.1,5.0
CLI-0396,Agriculture,37019375.31,45775.63,74630.62,1,38.3,63.04,96.0
CLI-0397,Agriculture,24023568.13,47687.94,49108.11,0,20.0,2.98,2.0
CLI-0398,Retail,39150353.48,17010.38,17630.18,0,24.6,3.64,1.0
CLI-0399,Manufacturing,7515811.86,18366.82,18287.64,0,22.4,-0.43,0.0
CLI-0400,Energy,52934524.34,25776.07,25711.91,0,13.7,-0.25,2.0
CLI-0401,Retail,58541893.3,47114.92,46578.05,0,10.5,-1.14,1.0
CLI-0402,Agriculture,58288282.04,43939.65,78213.62,1,27.7,78.0,63.0
CLI-0403,Logistics,46230850.75,6025.83,5774.69,0,18.9,-4.17,7.0
CLI-0404,Agriculture,12154743.21,20243.81,20978.58,0,22.3,3.63,4.0
CLI-0405,Manufacturing,46704475.78,28115.19,41844.85,1,32.7,48.83,100.0
CLI-0406,Agriculture,6352280.41,25653.49,25781.03,0,13.9,0.5,1.0
CLI-0407,Logistics,6216795.33,10499.29,10412.32,0,12.5,-0.83,9.0
CLI-0408,Manufacturing,22798562.05,43082.02,44709.44,0,29.3,3.78,6.0
CLI-0409,Agriculture,31875375.47,34170.1,33158.65,0,12.2,-2.96,1.0
CLI-0410,Manufacturing,47372407.98,42057.51,71324.44,1,30.1,69.59,91.0
CLI-0411,Energy,42581245.71,43079.45,41160.74,0,21.7,-4.45,4.0
CLI-0412,Energy,29524648.85,37669.44,67168.65,1,31.0,78.31,98.0
CLI-0413,Agriculture,20049466.65,22521.32,22050.35,0,11.7,-2.09,2.0
CLI-0414,Manufacturing,59841847.51,30916.79,45807.68,1,24.7,48.16,75.0
CLI-0415,Logistics,28439971.62,8857.9,8685.09,0,12.1,-1.95,1.0
CLI-0416,Agriculture,29826286.34,34008.63,32963.46,0,21.7,-3.07,7.0
CLI-0417,Energy,13999310.17,9783.41,9420.52,0,20.9,-3.71,0.0
CLI-0418,Energy,48714525.18,35003.53,48259.91,1,27.5,37.87,73.0
CLI-0419,Agriculture,43152522.42,12250.31,12215.55,0,22.8,-0.28,5.0
CLI-0420,Manufacturing,17142328.7,6760.01,6575.79,0,26.4,-2.73,3.0
CLI-0421,Energy,9530957.51,9098.94,8795.2,0,10.8,-3.34,0.0
CLI-0422,Manufacturing,42427461.61,1097.61,1079.25,0,20.0,-1.67,10.0
CLI-0423,Energy,40998116.79,36218.24,63887.33,1,32.2,76.4,100.0
CLI-0424,Energy,20029273.98,36887.65,38688.23,0,15.0,4.88,0.0
CLI-0425,Retail,57297495.92,26231.73,26192.99,0,16.2,-0.15,1.0
CLI-0426,Energy,13308184.05,8906.78,8621.02,0,22.3,-3.21,1.0
CLI-0427,Logistics,28778414.06,5094.16,5293.41,0,28.0,3.91,2.0
CLI-0428,Agriculture,56898875.61,1937.32,1929.64,0,26.2,-0.4,5.0
CLI-0429,Agriculture,28085002.43,9121.66,9312.92,0,21.7,2.1,0.0
CLI-0430,Manufacturing,40118927.12,44651.92,46811.79,0,24.6,4.84,5.0
CLI-0431,Energy,26867691.89,12835.31,12257.95,0,17.3,-4.5,2.0
CLI-0432,Logistics,20081836.13,18359.3,17618.86,0,22.8,-4.03,2.0
CLI-0433,Manufacturing,59118770.64,6161.93,6297.77,0,19.3,2.2,0.0
CLI-0434,Retail,27513370.35,11895.7,11636.17,0,13.8,-2.18,0.0
CLI-0435,Manufacturing,54175456.2,26442.0,25607.23,0,24.0,-3.16,2.0
CLI-0436,Manufacturing,17647503.32,30779.88,29362.04,0,21.1,-4.61,0.0
CLI-0437,Energy,16720758.72,13022.26,15797.41,1,29.9,21.31,76.0
CLI-0438,Retail,6712374.56,3828.88,4903.49,1,37.9,28.07,92.0
CLI-0439,Manufacturing,40841675.4,20160.61,20374.1,0,10.4,1.06,0.0
CLI-0440,Logistics,25268948.9,12475.97,12386.58,0,16.3,-0.72,0.0
CLI-0441,Logistics,52539703.74,11758.14,14301.0,1,24.0,21.63,58.0
CLI-0442,Agriculture,31026544.87,48033.28,45682.11,0,25.3,-4.89,4.0
CLI-0443,Retail,58250638.54,31198.72,32015.78,0,24.0,2.62,11.0
CLI-0444,Retail,15203903.36,28287.04,29399.58,0,16.6,3.93,0.0
CLI-0445,Agriculture,52774274.24,21372.98,21229.44,0,23.5,-0.67,1.0
CLI-0446,Manufacturing,47712826.9,22018.27,22096.53,0,17.9,0.36,3.0
CLI-0447,Retail,47400701.46,27504.35,27441.04,0,25.1,-0.23,1.0
CLI-0448,Logistics,51463077.55,35125.06,50352.66,1,33.0,43.35,99.0
CLI-0449,Logistics,46856319.5,35405.16,61476.11,1,26.6,73.64,69.0
CLI-0450,Energy,39442117.69,9413.0,9521.32,0,28.7,1.15,5.0
CLI-0451,Retail,12218468.27,25505.52,26594.37,0,15.0,4.27,0.0
CLI-0452,Manufacturing,6788939.87,21185.95,22164.86,0,12.4,4.62,0.0
CLI-0453,Agriculture,55646631.63,43655.82,43694.93,0,21.7,0.09,4.0
CLI-0454,Agriculture,38915767.3,31939.53,31788.85,0,29.4,-0.47,1.0
CLI-0455,Manufacturing,48809551.0,27092.7,26493.12,0,17.6,-2.21,0.0
CLI-0456,Energy,31483729.33,6654.34,11813.6,1,17.7,77.53,64.0
CLI-0457,Agriculture,11451950.39,30676.26,30921.15,0,16.8,0.8,0.0
CLI-0458,Retail,11885218.57,6742.99,6596.36,0,20.1,-2.17,4.0
CLI-0459,Energy,42706090.8,17523.12,23961.2,1,22.3,36.74,66.0
CLI-0460,Retail,28666824.22,7999.26,8398.26,0,23.2,4.99,2.0
CLI-0461,Logistics,16028859.97,34911.61,33357.93,0,30.0,-4.45,22.0
CLI-0462,Energy,32037700.07,11106.35,11193.58,0,19.0,0.79,0.0
CLI-0463,Agriculture,8531491.54,20201.11,19357.86,0,17.1,-4.17,1.0
CLI-0464,Energy,37008427.11,44888.06,43337.27,0,18.0,-3.45,1.0
CLI-0465,Energy,19794637.24,11011.5,10944.95,0,12.3,-0.6,2.0
CLI-0466,Energy,48865750.54,25882.45,25909.52,0,27.7,0.1,11.0
CLI-0467,Energy,22069907.74,21544.31,29198.47,1,26.5,35.53,70.0
CLI-0468,Retail,30037108.2,1888.08,1810.1,0,17.7,-4.13,10.0
CLI-0469,Logistics,5639129.69,39845.15,39061.08,0,23.2,-1.97,0.0
CLI-0470,Manufacturing,8984578.83,4383.25,4587.75,0,18.8,4.67,1.0
CLI-0471,Energy,26587145.6,24238.5,25316.4,0,23.0,4.45,14.0
CLI-0472,Agriculture,31396635.91,28473.24,28003.08,0,11.2,-1.65,0.0
CLI-0473,Energy,38001130.15,31792.9,32018.17,0,26.3,0.71,2.0
CLI-0474,Agriculture,21041441.83,34742.95,36166.01,0,28.8,4.1,5.0
CLI-0475,Retail,43224003.74,13410.35,12748.13,0,23.0,-4.94,4.0
CLI-0476,Agriculture,52306731.85,1488.96,1535.22,0,29.1,3.11,13.0
CLI-0477,Manufacturing,47891804.39,36448.74,38082.99,0,13.0,4.48,2.0
CLI-0478,Logistics,7179035.39,27247.17,26133.65,0,19.5,-4.09,1.0
CLI-0479,Agriculture,31427882.1,41969.77,54429.28,1,36.6,29.69,99.0
CLI-0480,Agriculture,10771159.81,41248.03,41402.88,0,21.6,0.38,1.0
CLI-0481,Logistics,18312475.87,42322.98,40266.92,0,18.0,-4.86,4.0
CLI-0482,Manufacturing,59266442.63,24769.64,24169.3,0,16.8,-2.42,2.0
CLI-0483,Energy,12837254.86,17347.79,17260.95,0,12.5,-0.5,4.0
CLI-0484,Agriculture,32438848.44,39786.35,40553.86,0,17.8,1.93,6.0
CLI-0485,Logistics,38998565.39,23113.41,23652.32,0,13.3,2.33,0.0
CLI-0486,Retail,43635573.38,9988.67,10483.53,0,24.7,4.95,5.0
CLI-0487,Logistics,35780677.59,42893.73,41982.29,0,14.2,-2.12,1.0
CLI-0488,Retail,5537396.61,44245.43,44414.54,0,11.2,0.38,0.0
CLI-0489,Manufacturing,22955371.95,23849.18,23928.65,0,21.0,0.33,0.0
CLI-0490,Energy,33474140.39,4709.29,4664.86,0,21.9,-0.94,0.0
CLI-0491,Logistics,9832657.45,20003.48,26034.47,1,42.2,30.15,96.0
CLI-0492,Agriculture,24284481.22,40373.35,41799.81,0,21.5,3.53,1.0
CLI-0493,Manufacturing,6826170.98,45186.93,45179.4,0,16.9,-0.02,0.0
CLI-0494,Logistics,9321817.34,10970.16,11083.42,0,26.1,1.03,2.0
CLI-0495,Agriculture,26830780.19,4281.71,4164.93,0,20.8,-2.73,7.0
CLI-0496,Logistics,12299366.47,43990.17,44182.79,0,11.6,0.44,2.0
CLI-0497,Retail,36214746.65,20080.84,20472.36,0,21.3,1.95,3.0
CLI-0498,Logistics,42920573.3,27546.29,27588.07,0,28.2,0.15,10.0
CLI-0499,Logistics,49032268.45,48435.22,50809.93,0,17.9,4.9,0.0
CLI-0500,Logistics,16008263.43,4261.67,4309.12,0,15.9,1.11,0.0
CLI-0501,Manufacturing,14211542.02,32767.58,32344.79,0,12.9,-1.29,0.0
CLI-0502,Logistics,10751231.22,4631.17,4757.21,0,13.0,2.72,0.0
CLI-0503,Agriculture,40003663.72,19397.98,18758.74,0,18.7,-3.3,3.0
CLI-0504,Retail,43856164.96,40386.91,39920.51,0,21.9,-1.15,9.0
CLI-0505,Retail,6737237.97,22240.14,21899.77,0,11.6,-1.53,1.0
CLI-0506,Logistics,56491673.54,49861.94,49521.92,0,28.8,-0.68,2.0
CLI-0507,Manufacturing,7858420.6,28393.9,29193.98,0,25.1,2.82,2.0
CLI-0508,Manufacturing,34771298.44,16736.95,16710.46,0,21.7,-0.16,4.0
CLI-0509,Agriculture,43998328.57,11785.45,19757.23,1,37.3,67.64,99.0
CLI-0510,Logistics,52903301.81,18175.51,17888.46,0,11.6,-1.58,0.0
CLI-0511,Retail,44274781.27,19254.13,19850.97,0,19.5,3.1,1.0
CLI-0512,Manufacturing,49095044.57,4366.97,4252.68,0,22.6,-2.62,3.0
CLI-0513,Logistics,23669760.59,19109.14,18582.46,0,26.6,-2.76,9.0
CLI-0514,Manufacturing,49815381.26,23747.69,23758.38,0,25.7,0.05,0.0
CLI-0515,Manufacturing,9406316.55,36414.15,35543.3,0,15.5,-2.39,1.0
CLI-0516,Retail,54214916.08,33179.74,39996.59,1,40.3,20.55,98.0
CLI-0517,Energy,35117580.69,35729.52,35769.16,0,12.5,0.11,0.0
CLI-0518,Agriculture,49951377.35,1409.82,1402.14,0,27.5,-0.54,12.0
CLI-0519,Agriculture,29877505.65,11665.7,20767.06,1,40.1,78.02,100.0
CLI-0520,Retail,40396773.24,33422.53,34637.21,0,13.5,3.63,0.0
CLI-0521,Manufacturing,33952146.35,24715.48,23824.36,0,24.4,-3.61,2.0
CLI-0522,Logistics,45237423.7,1260.36,1269.08,0,10.8,0.69,4.0
CLI-0523,Manufacturing,9489649.01,40420.24,41907.62,0,18.1,3.68,0.0
CLI-0524,Retail,8319364.62,38867.67,39190.68,0,20.3,0.83,0.0
CLI-0525,Agriculture,18590677.87,27872.54,45454.78,1,30.3,63.08,95.0
CLI-0526,Manufacturing,13774957.41,4256.7,4083.22,0,28.7,-4.08,3.0
CLI-0527,Agriculture,52948096.16,38559.24,38396.91,0,23.4,-0.42,1.0
CLI-0528,Logistics,17056769.3,29601.97,29289.61,0,19.6,-1.06,0.0
CLI-0529,Agriculture,58672589.07,39316.04,40759.18,0,26.2,3.67,5.0
CLI-0530,Agriculture,23529268.55,37835.6,50941.75,1,43.7,34.64,100.0
CLI-0531,Energy,15016485.36,40347.1,42195.55,0,10.4,4.58,0.0
CLI-0532,Energy,48433417.89,26382.4,25716.59,0,29.7,-2.52,8.0
CLI-0533,Energy,41228927.65,7875.9,7756.23,0,11.7,-1.52,0.0
CLI-0534,Agriculture,32400764.4,33886.72,35227.13,0,26.3,3.96,1.0
CLI-0535,Retail,35544995.3,31403.22,32868.56,0,15.6,4.67,0.0
CLI-0536,Agriculture,44556097.8,37370.41,37159.04,0,12.6,-0.57,0.0
CLI-0537,Retail,17565010.77,9324.17,9157.26,0,18.8,-1.79,0.0
CLI-0538,Retail,59798365.38,10553.78,10581.32,0,22.9,0.26,7.0
CLI-0539,Energy,58613623.92,44630.07,45468.09,0,17.6,1.88,2.0
CLI-0540,Manufacturing,40767912.75,37748.91,36893.8,0,11.1,-2.27,0.0
CLI-0541,Logistics,15974834.8,45503.2,46579.23,0,22.0,2.36,2.0
CLI-0542,Energy,42412553.33,38177.05,36465.41,0,28.0,-4.48,12.0
CLI-0543,Energy,8970912.49,30260.61,28896.75,0,17.7,-4.51,3.0
CLI-0544,Manufacturing,6685887.62,33052.5,32676.65,0,14.3,-1.14,0.0
CLI-0545,Logistics,19172558.87,44567.27,43914.24,0,18.9,-1.47,0.0
CLI-0546,Agriculture,30444262.62,29361.53,28820.2,0,11.0,-1.84,0.0
CLI-0547,Agriculture,52754987.8,31987.17,31958.44,0,26.4,-0.09,18.0
CLI-0548,Energy,44994298.84,8667.36,8511.98,0,26.5,-1.79,10.0
CLI-0549,Logistics,45848858.67,24222.14,31860.71,1,29.9,31.54,66.0
CLI-0550,Energy,28402133.39,36103.46,37818.03,0,17.1,4.75,6.0
CLI-0551,Retail,24026424.59,14276.19,14149.29,0,26.0,-0.89,2.0
CLI-0552,Energy,25407131.96,10910.45,10850.13,0,21.1,-0.55,4.0
CLI-0553,Energy,59320726.01,16377.51,16502.87,0,26.5,0.77,2.0
CLI-0554,Agriculture,7206005.53,12833.53,13453.83,0,22.6,4.83,0.0
CLI-0555,Agriculture,52686732.29,11530.72,11232.77,0,25.7,-2.58,9.0
CLI-0556,Agriculture,36827147.47,21817.69,35099.63,1,34.1,60.88,96.0
CLI-0557,Retail,29123848.06,45484.09,45972.25,0,18.3,1.07,0.0
CLI-0558,Agriculture,44889171.32,25845.92,32388.74,1,40.9,25.31,100.0
CLI-0559,Logistics,31766791.78,10208.1,9763.12,0,20.8,-4.36,3.0
CLI-0560,Manufacturing,53038278.09,4771.61,4817.49,0,22.1,0.96,2.0
CLI-0561,Logistics,54538602.52,35111.65,57714.73,1,21.5,64.37,63.0
CLI-0562,Logistics,28194650.98,19757.14,20432.09,0,22.5,3.42,0.0
CLI-0563,Agriculture,20225528.85,41269.72,39331.5,0,21.4,-4.7,0.0
CLI-0564,Manufacturing,37579268.07,33316.03,34461.48,0,13.7,3.44,0.0
CLI-0565,Manufacturing,55179984.01,40015.83,39857.08,0,11.2,-0.4,0.0
CLI-0566,Manufacturing,16586420.4,14325.36,13920.79,0,22.1,-2.82,2.0
CLI-0567,Retail,39263162.1,34925.59,33646.54,0,25.3,-3.66,13.0
CLI-0568,Agriculture,39735812.11,13939.04,14570.91,0,20.5,4.53,0.0
CLI-0569,Manufacturing,45321216.23,47014.36,45005.27,0,14.5,-4.27,0.0
CLI-0570,Retail,12236222.68,32182.34,31213.95,0,23.3,-3.01,2.0
CLI-0571,Energy,44370373.06,16901.08,16643.88,0,11.6,-1.52,0.0
CLI-0572,Energy,54996788.64,14206.08,14376.89,0,18.8,1.2,2.0
CLI-0573,Retail,14882570.99,10355.4,10401.79,0,13.3,0.45,0.0
CLI-0574,Retail,18064882.87,35037.41,33725.76,0,13.7,-3.74,0.0
CLI-0575,Agriculture,58426730.17,11717.07,11470.69,0,14.0,-2.1,1.0
CLI-0576,Agriculture,14953732.4,30169.86,29381.68,0,17.7,-2.61,1.0
CLI-0577,Energy,51991180.14,13967.12,13567.02,0,11.0,-2.86,0.0
CLI-0578,Manufacturing,32075282.1,33436.48,33139.38,0,18.0,-0.89,1.0
CLI-0579,Energy,18597709.09,40932.05,41767.19,0,20.2,2.04,0.0
CLI-0580,Manufacturing,52891244.57,39123.24,38017.82,0,19.7,-2.83,0.0
CLI-0581,Manufacturing,29491789.03,38281.72,37771.34,0,17.7,-1.33,2.0
CLI-0582,Agriculture,33314954.47,10198.4,10087.15,0,26.8,-1.09,8.0
CLI-0583,Logistics,24757835.32,5330.86,5584.85,0,12.9,4.76,0.0
CLI-0584,Logistics,37612296.83,35248.49,36851.12,0,20.1,4.55,4.0
CLI-0585,Retail,13993812.99,19049.01,19620.74,0,11.2,3.0,0.0
CLI-0586,Agriculture,26509484.52,22184.97,29838.68,1,17.1,34.5,63.0
CLI-0587,Manufacturing,58317677.73,2526.31,3511.93,1,29.1,39.01,73.0
CLI-0588,Logistics,19197338.8,13719.25,13727.38,0,21.3,0.06,0.0
CLI-0589,Manufacturing,41120516.55,2650.14,2723.74,0,27.6,2.78,7.0
CLI-0590,Logistics,22885453.53,44080.1,45659.59,0,21.2,3.58,1.0
CLI-0591,Logistics,47541021.91,12926.44,13372.23,0,29.2,3.45,6.0
CLI-0592,Logistics,12198051.34,28309.52,27912.27,0,11.0,-1.4,1.0
CLI-0593,Agriculture,58340157.48,2909.99,2964.48,0,12.0,1.87,0.0
CLI-0594,Energy,29958424.78,33675.52,33045.23,0,10.9,-1.87,0.0
CLI-0595,Manufacturing,17982775.48,16828.34,16089.42,0,13.7,-4.39,0.0
CLI-0596,Agriculture,9042321.1,44998.04,45905.04,0,20.8,2.02,0.0
CLI-0597,Agriculture,14336684.78,44517.79,42335.65,0,22.9,-4.9,0.0
CLI-0598,Agriculture,33587567.17,16939.24,16785.4,0,10.9,-0.91,0.0
CLI-0599,Agriculture,23535174.7,45147.08,63098.8,1,40.9,39.76,96.0
CLI-0600,Agriculture,50588585.12,49811.73,51137.94,0,26.8,2.66,2.0
CLI-0601,Retail,28698813.8,41445.37,40633.43,0,15.9,-1.96,3.0
CLI-0602,Manufacturing,18679284.99,42398.7,43719.96,0,11.5,3.12,1.0
CLI-0603,Agriculture,38942974.26,13201.43,12929.37,0,13.4,-2.06,0.0
CLI-0604,Manufacturing,43872746.93,29258.42,29101.38,0,12.5,-0.54,1.0
CLI-0605,Retail,14187304.93,4295.54,4393.06,0,12.5,2.27,0.0
CLI-0606,Retail,14219056.9,5650.98,5760.0,0,20.4,1.93,3.0
CLI-0607,Manufacturing,7016928.48,49945.74,52379.94,0,14.9,4.87,0.0
CLI-0608,Logistics,45502110.83,17005.32,16537.95,0,17.2,-2.75,0.0
CLI-0609,Energy,41509249.02,37661.01,38272.32,0,29.8,1.62,4.0
CLI-0610,Logistics,31104698.17,40526.59,40971.09,0,23.7,1.1,7.0
CLI-0611,Logistics,51429374.69,43043.14,44829.85,0,29.0,4.15,2.0
CLI-0612,Logistics,49311858.41,49883.79,48169.59,0,12.9,-3.44,0.0
CLI-0613,Agriculture,37194490.04,12833.33,21188.84,1,28.3,65.11,62.0
CLI-0614,Retail,52754920.43,2977.19,2910.1,0,21.1,-2.25,0.0
CLI-0615,Logistics,16321266.55,21148.38,21094.31,0,11.5,-0.26,0.0
CLI-0616,Retail,11155579.07,7373.95,7251.38,0,10.1,-1.66,0.0
CLI-0617,Manufacturing,19836228.63,2098.87,2115.52,0,23.4,0.79,21.0
CLI-0618,Energy,8139777.08,18660.91,19386.82,0,22.8,3.89,0.0
CLI-0619,Manufacturing,34214324.04,39403.17,39676.25,0,18.2,0.69,3.0
CLI-0620,Manufacturing,56513313.08,28742.85,45385.92,1,30.0,57.9,80.0
CLI-0621,Agriculture,7163894.74,16326.12,15593.35,0,18.3,-4.49,0.0
CLI-0622,Energy,11716045.27,33062.76,32179.52,0,10.5,-2.67,2.0
CLI-0623,Manufacturing,29870946.56,12368.89,12359.0,0,16.7,-0.08,0.0
CLI-0624,Manufacturing,56363125.96,1704.69,1672.34,0,13.5,-1.9,0.0
CLI-0625,Energy,22388585.77,38453.32,37229.6,0,12.0,-3.18,1.0
CLI-0626,Energy,32897914.48,31563.41,31576.45,0,29.1,0.04,4.0
CLI-0627,Manufacturing,7286507.25,38352.83,37673.26,0,22.0,-1.77,1.0
CLI-0628,Energy,13158876.05,2907.96,2837.62,0,24.6,-2.42,7.0
CLI-0629,Manufacturing,59264656.76,42018.86,41867.53,0,16.3,-0.36,4.0
CLI-0630,Manufacturing,58081528.3,31356.78,40135.76,1,32.1,28.0,98.0
CLI-0631,Agriculture,5271698.95,28606.37,29658.23,0,14.7,3.68,0.0
CLI-0632,Logistics,57349648.2,31606.09,51346.38,1,18.0,62.46,73.0
CLI-0633,Manufacturing,40151596.58,43357.23,44553.36,0,13.6,2.76,0.0
CLI-0634,Retail,52735506.2,29759.89,50138.7,1,38.6,68.48,99.0
CLI-0635,Logistics,30010692.06,29466.57,28329.06,0,23.6,-3.86,0.0
CLI-0636,Logistics,33357781.57,49543.28,50256.25,0,20.9,1.44,0.0
CLI-0637,Logistics,31886561.91,38079.78,64758.28,1,30.3,70.06,97.0
CLI-0638,Agriculture,41677534.17,22672.4,23004.34,0,28.4,1.46,2.0
CLI-0639,Manufacturing,12680819.01,35662.45,52602.76,1,21.7,47.5,74.0
CLI-0640,Agriculture,6648547.44,20072.29,19137.68,0,15.6,-4.66,0.0
CLI-0641,Manufacturing,21936146.79,12214.9,12384.64,0,17.0,1.39,2.0
CLI-0642,Agriculture,43757441.95,30245.74,28979.8,0,25.6,-4.19,1.0
CLI-0643,Agriculture,16101939.87,46480.92,46178.86,0,29.9,-0.65,5.0
CLI-0644,Retail,42038783.83,46527.84,45563.11,0,14.8,-2.07,1.0
CLI-0645,Agriculture,58345162.54,17753.36,17834.01,0,27.5,0.45,6.0
CLI-0646,Energy,10164539.37,26856.2,25871.7,0,26.6,-3.67,4.0
